duty_date,base,staff_id,is_half_day
2026-10-08,Ha Noi,19289,False
2026-10-09,Ha Noi,18351,False
2026-10-09,Ha Noi,11461,False
2026-10-10,Ha Noi,18363,False
2026-10-10,Ha Noi,19297,False
2026-10-11,Ha Noi,18364,False
2026-10-11,Ha Noi,19299,False
2026-10-12,Ha Noi,18365,False
2026-10-12,Ha Noi,19301,False
2026-10-13,Ha Noi,18622,False
2026-10-13,Ha Noi,19302,False
2026-10-14,Ha Noi,34015,False
2026-10-14,Ha Noi,19303,False
2026-10-15,Ha Noi,18625,False
2026-10-15,Ha Noi,19305,False
2026-10-16,Ha Noi,19284,False
2026-10-16,Ha Noi,19306,False
2026-10-17,Ha Noi,15889,False
2026-10-17,Ha Noi,15882,False
2026-10-18,Ha Noi,19318,False
2026-10-18,Ha Noi,19307,False
2026-10-19,Ha Noi,19311,False
2026-10-20,Ha Noi,19347,False
2026-10-20,Ha Noi,19312,False
2026-10-21,Ha Noi,19366,False
2026-10-21,Ha Noi,19314,False
2026-10-22,Ha Noi,19387,False
2026-10-22,Ha Noi,19315,False
2026-10-23,Ha Noi,20825,False
2026-10-23,Ha Noi,19317,False
2026-10-24,Ha Noi,27784,False
2026-10-24,Ha Noi,19327,False
2026-10-25,Ha Noi,3027,False
2026-10-25,Ha Noi,19324,False
2026-10-26,Ha Noi,3384,False
2026-10-26,Ha Noi,19330,False
2026-10-27,Ha Noi,3861,False
2026-10-27,Ha Noi,19333,False
2026-10-28,Ha Noi,4861,False
2026-10-28,Ha Noi,19335,False
2026-10-29,Ha Noi,6243,False
2026-10-29,Ha Noi,19338,False
2026-10-30,Ha Noi,8182,False
2026-10-30,Ha Noi,19341,False
2026-10-31,Ha Noi,8203,False
2026-10-31,Ha Noi,19344,False
2026-10-03,Ha Noi,9830,False
2026-10-03,Ha Noi,9828,False
2026-10-03,Ha Noi,9381,False
2026-10-03,Ha Noi,9002,False
2026-10-04,Ha Noi,6241,False
2026-10-04,Ha Noi,8204,False
2026-10-04,Ha Noi,34144,False
2026-10-04,Ha Noi,8407,False
2026-10-04,Ha Noi,34015,False
2026-10-10,Ha Noi,3386,False
2026-10-10,Ha Noi,28263,False
2026-10-10,Ha Noi,8182,False
2026-10-10,Ha Noi,6243,False
2026-10-11,Ha Noi,28262,False
2026-10-17,Ha Noi,20860,False
2026-10-18,Ha Noi,19347,False
2026-10-24,Ha Noi,20382,False
2026-10-25,Ha Noi,18625,False
2026-10-31,Ha Noi,3384,False
2026-10-11,Ha Noi,27783,False
2026-10-17,Ha Noi,16801,False
2026-10-18,Ha Noi,19366,False
2026-10-24,Ha Noi,16803,False
2026-10-25,Ha Noi,34144,False
2026-10-31,Ha Noi,18351,False
2026-10-11,Ha Noi,4861,False
2026-10-10,Ha Noi,33465,False
2026-10-17,Ha Noi,12281,False
2026-10-18,Ha Noi,19387,False
2026-10-24,Ha Noi,18365,False
2026-10-25,Ha Noi,15889,False
2026-10-31,Ha Noi,20825,False
2026-10-11,Ha Noi,3861,False
2026-10-03,Ha Noi,18349,False
2026-10-17,Ha Noi,16784,False
2026-10-18,Ha Noi,20833,False
2026-10-24,Ha Noi,18622,False
2026-10-25,Ha Noi,20240,False
2026-10-31,Ha Noi,20221,False
2026-10-17,Ha Noi,21695,False
2026-10-18,Ha Noi,20811,False
2026-10-24,Ha Noi,20661,False
2026-10-25,Ha Noi,20289,False
2026-10-11,Ha Noi,15885,False
2026-10-31,Ha Noi,20205,False
2026-10-19,Ha Noi,27784,False
2026-10-14,Ha Noi,30033,False
2026-10-28,Ha Noi,8205,False
